Entity	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	R20   	R21   	R22   	R23   	R24   	R25   	R26   	R27   	R28   	R29   	R30   	R31   	R32   	R33   	R34   	R35   	R36   	R37   	R38   	R39   	R40   	R41   	R42   	R43   	R44   	R45   	R46   	R47   	R48   	R49   	R50   	R51   	R52   	R53   	R54   	R55   	R56   	R57   	R58   	R59   	R60   	R61   	R62   	R63   	R64   	R65   	R66   	R67   	R68   	R69   
E1    	12    	4     	5     	6     	5     	1     	5     	5     	11    	3     	4     	4     	6     	2     	4     	3     	4     	6     	1     	5     	5     	2     	4     	2     	3     	1     	3     	3     	5     	6     	1     	4     	5     	5     	5     	3     	5     	5     	1     	1     	9     	1     	3     	8     	7     	6     	6     	4     	7     	8     	7     	1     	2     	1     	5     	6     	3     	4     	2     	4     	4     	6     	9     	6     	8     	8     	3     	4     	8     
E2    	11    	3     	12    	7     	10    	7     	8     	10    	9     	4     	1     	2     	1     	5     	9     	9     	3     	10    	12    	3     	8     	11    	12    	6     	9     	10    	7     	8     	12    	12    	10    	7     	12    	1     	4     	7     	8     	12    	4     	7     	2     	2     	8     	12    	12    	5     	2     	10    	10    	12    	9     	4     	1     	2     	8     	9     	10    	12    	4     	11    	9     	8     	12    	12    	9     	2     	10    	8     	10    
E3    	10    	10    	11    	12    	12    	12    	12    	12    	7     	12    	10    	11    	11    	12    	12    	12    	12    	11    	11    	11    	12    	9     	9     	11    	11    	12    	12    	12    	9     	11    	8     	11    	10    	11    	10    	12    	12    	11    	11    	11    	8     	11    	10    	10    	11    	10    	12    	12    	12    	11    	10    	10    	12    	11    	12    	12    	11    	11    	12    	10    	12    	12    	11    	10    	10    	11    	11    	11    	12    
E4    	6     	1     	7     	8     	7     	2     	3     	8     	8     	5     	8     	5     	7     	1     	7     	1     	10    	4     	6     	7     	6     	7     	1     	5     	1     	5     	9     	7     	6     	9     	2     	1     	6     	7     	2     	4     	11    	8     	7     	9     	4     	4     	9     	2     	3     	7     	9     	3     	9     	5     	6     	7     	3     	8     	1     	1     	6     	9     	9     	7     	2     	1     	8     	3     	5     	3     	6     	9     	6     
E5    	4     	8     	6     	1     	2     	3     	11    	3     	2     	2     	2     	8     	8     	6     	10    	2     	1     	3     	2     	10    	4     	1     	8     	1     	4     	3     	5     	11    	3     	5     	4     	10    	2     	10    	11    	5     	1     	1     	6     	5     	10    	8     	2     	3     	2     	12    	3     	1     	6     	4     	1     	3     	4     	9     	7     	3     	1     	6     	1     	8     	1     	5     	5     	1     	7     	4     	4     	2     	1     
E6    	1     	9     	1     	3     	3     	4     	4     	6     	3     	6     	3     	9     	4     	3     	1     	5     	6     	8     	4     	1     	2     	4     	3     	3     	2     	4     	4     	1     	4     	2     	3     	3     	4     	3     	6     	6     	7     	4     	3     	3     	11    	3     	4     	6     	6     	2     	5     	5     	1     	3     	4     	2     	6     	6     	2     	2     	5     	5     	3     	2     	5     	4     	1     	5     	3     	7     	8     	3     	5     
E7    	3     	7     	2     	4     	1     	5     	1     	2     	1     	1     	9     	3     	3     	4     	6     	8     	5     	2     	3     	4     	9     	3     	6     	4     	5     	2     	1     	2     	2     	4     	7     	2     	1     	2     	1     	1     	2     	3     	2     	4     	1     	5     	1     	1     	9     	4     	1     	7     	2     	1     	5     	5     	8     	4     	3     	5     	2     	8     	5     	3     	3     	3     	3     	9     	2     	10    	9     	6     	2     
E8    	8     	6     	3     	5     	6     	9     	10    	4     	12    	8     	12    	10    	2     	9     	5     	10    	7     	7     	5     	2     	7     	5     	10    	8     	8     	8     	8     	5     	7     	3     	11    	12    	7     	8     	3     	8     	10    	6     	10    	12    	5     	9     	12    	4     	8     	3     	7     	2     	5     	9     	11    	6     	9     	3     	9     	7     	7     	7     	7     	1     	7     	7     	4     	8     	11    	5     	2     	12    	7     
E9    	9     	2     	9     	11    	4     	8     	2     	9     	5     	9     	6     	1     	9     	11    	8     	11    	8     	12    	9     	12    	11    	10    	2     	9     	10    	7     	11    	4     	11    	8     	6     	9     	8     	6     	9     	10    	6     	9     	5     	2     	3     	6     	11    	11    	1     	9     	10    	9     	8     	7     	2     	8     	7     	7     	6     	10    	8     	3     	10    	9     	10    	10    	10    	4     	4     	6     	1     	1     	9     
E10   	7     	11    	10    	9     	8     	11    	6     	11    	10    	10    	5     	12    	10    	10    	11    	6     	11    	5     	10    	9     	10    	12    	11    	7     	12    	9     	10    	9     	10    	10    	12    	8     	9     	12    	12    	11    	4     	10    	8     	10    	7     	12    	6     	9     	10    	11    	8     	11    	11    	10    	12    	12    	11    	12    	10    	11    	12    	10    	11    	12    	11    	11    	7     	11    	12    	12    	12    	10    	11    
E11   	2     	5     	8     	10    	11    	10    	9     	7     	6     	11    	11    	6     	5     	8     	2     	4     	9     	1     	7     	8     	3     	8     	7     	10    	6     	6     	6     	6     	8     	7     	5     	5     	11    	9     	8     	9     	3     	7     	12    	6     	6     	7     	7     	5     	4     	8     	11    	8     	4     	2     	3     	9     	5     	10    	4     	4     	9     	1     	8     	5     	6     	9     	2     	2     	6     	1     	7     	7     	3     
